Date/Time,ABP,Temp,Hum,AA,AH,GR,VP,DP,ADR,AA,PA,WD,WS,WG,AL
2/11/2017 13:21,0:14:24,72.5,45.8,1600,1.295,57,0.371,50,0.921,2256,849,0,0,2,0
2/11/2017 13:21,0:28:48,73.3,47.7,1649,1.386,61,0.397,52,0.919,2331,847,60,0,1,0
2/11/2017 13:20,0:14:24,72.2,48.1,1605,1.347,59,0.386,52,0.921,2252,849,0,0,0,0
2/11/2017 13:20,0:28:48,72.3,49.1,1611,1.376,60,0.394,52,0.921,2258,845,0,0,0,0
2/11/2017 13:20,0:28:48,72.5,49.5,1626,1.397,61,0.4,53,0.92,2280,848,0,0,0,0
2/11/2017 13:19,0:28:48,72.2,49.1,1610,1.373,60,0.393,52,0.921,2255,846,0,0,1,0
2/11/2017 13:19,0:28:48,72.5,49.3,1626,1.394,61,0.399,53,0.92,2282,847,60,1,2,0
2/11/2017 13:19,0:28:48,72.4,48.8,1614,1.374,60,0.393,52,0.921,2264,845,60,1,2,0
2/11/2017 13:18,0:28:48,72.4,48,1603,1.348,59,0.386,52,0.921,2252,842,0,0,0,0
2/11/2017 13:18,0:28:48,72.5,49.5,1623,1.398,61,0.4,53,0.921,2276,844,0,0,0,0
2/11/2017 13:18,0:28:48,71.8,48.1,1581,1.327,58,0.38,51,0.923,2213,842,0,0,0,0
2/11/2017 13:17,0:28:48,71.8,50.6,1600,1.396,61,0.4,53,0.922,2231,843,0,0,1,0
2/11/2017 13:17,0:28:48,71.8,50.6,1600,1.396,61,0.4,53,0.922,2231,843,0,0,1,0
2/11/2017 13:17,0:28:48,72.3,51.1,1622,1.433,62,0.41,53,0.921,2268,841,90,2,3,0
2/11/2017 13:16,0:28:48,71.9,49.9,1597,1.381,60,0.395,52,0.922,2232,841,60,2,3,0
2/11/2017 13:16,0:28:48,72.1,49.4,1600,1.374,60,0.393,52,0.922,2239,841,60,2,3,0
2/11/2017 13:16,0:28:48,72.4,50,1620,1.409,61,0.403,53,0.921,2270,841,0,0,0,0
2/11/2017 13:15,0:28:48,72,50.8,1608,1.409,61,0.403,53,0.922,2245,841,30,0,1,0
2/11/2017 13:15,0:28:48,72.1,51.4,1617,1.431,62,0.41,53,0.921,2257,841,60,0,1,0
2/11/2017 13:15,0:28:48,71.9,51.7,1611,1.432,62,0.41,53,0.922,2245,841,60,2,3,0
2/11/2017 13:14,0:28:48,71.5,51.4,1592,1.405,61,0.402,53,0.923,2215,841,90,2,3,0
2/11/2017 13:14,0:28:48,71.2,50.5,1570,1.362,59,0.39,52,0.924,2180,842,90,2,3,0
2/11/2017 13:14,0:28:48,71.1,50.3,1563,1.352,59,0.387,52,0.924,2171,841,90,2,3,0
2/11/2017 13:13,0:28:48,71.9,50.4,1598,1.392,61,0.398,52,0.922,2230,841,90,3,4,0
2/11/2017 13:13,0:28:48,72,50.5,1604,1.401,61,0.401,53,0.922,2240,841,60,3,4,0
2/11/2017 13:13,0:28:48,71.9,50.4,1601,1.396,61,0.4,53,0.922,2235,841,60,7,4,0
2/11/2017 13:12,0:28:48,72.2,50.2,1611,1.402,61,0.401,53,0.921,2254,841,60,3,4,0
2/11/2017 13:12,0:28:48,72.2,50.2,1611,1.402,61,0.401,53,0.921,2254,841,60,3,4,0
2/11/2017 13:12,0:28:48,73,49.2,1639,1.411,62,0.404,53,0.919,2307,842,60,2,4,0
2/11/2017 13:11,0:28:48,72.9,49.1,1633,1.403,61,0.402,53,0.92,2298,841,0,0,0,0
2/11/2017 13:11,0:28:48,73.5,50.2,1672,1.467,64,0.42,54,0.918,2358,841,30,1,2,0
2/11/2017 13:11,0:28:48,72.5,50.7,1631,1.433,62,0.41,53,0.92,2286,841,0,1,2,0
2/11/2017 13:10,0:28:48,72.3,50,1615,1.402,61,0.401,53,0.921,2261,841,0,0,0,0
2/11/2017 13:10,0:28:48,72,51.1,1609,1.417,62,0.406,53,0.922,2245,841,0,0,1,0
2/11/2017 13:10,0:28:48,71.5,51.9,1593,1.416,62,0.405,53,0.923,2213,841,330,0,2,0
2/11/2017 13:09,0:28:48,71.5,51,1587,1.392,61,0.398,52,0.923,2207,841,90,0,1,0
2/11/2017 13:09,0:28:48,71.5,51,1587,1.392,61,0.398,52,0.923,2207,841,90,0,1,0
2/11/2017 13:09,0:28:48,71.4,50.6,1581,1.377,60,0.394,52,0.923,2199,841,0,0,0,0
2/11/2017 13:08,0:28:48,71.5,51.3,1592,1.403,61,0.402,53,0.923,2214,841,0,0,0,0
2/11/2017 13:08,0:28:48,70.8,50.9,1557,1.357,59,0.389,52,0.925,2156,841,0,0,0,0
2/11/2017 13:08,0:28:48,71.7,52.2,1605,1.435,62,0.41,53,0.922,2232,841,0,0,0,0
2/11/2017 13:07,0:28:48,70.9,52,1570,1.394,61,0.399,53,0.924,2174,841,300,0,2,0
2/11/2017 13:07,0:28:48,70.9,52,1570,1.394,61,0.399,53,0.924,2174,841,300,0,2,0
2/11/2017 13:07,0:28:48,71.4,51.3,1586,1.396,61,0.4,53,0.923,2205,841,0,0,1,0
2/11/2017 13:06,0:28:48,71.6,50.5,1588,1.383,60,0.396,52,0.923,2212,841,30,1,2,0
2/11/2017 13:06,0:28:48,71.9,49.3,1593,1.365,59,0.391,52,0.922,2227,841,30,2,3,0
2/11/2017 13:06,0:28:48,71.9,49.4,1591,1.366,60,0.391,52,0.922,2224,841,0,1,3,0
2/11/2017 13:05,0:28:48,71.9,48.9,1589,1.352,59,0.387,52,0.922,2223,841,0,2,3,0
2/11/2017 13:05,0:28:48,72.1,49.4,1600,1.374,60,0.393,52,0.922,2240,841,0,2,3,0
2/11/2017 13:05,0:28:48,72,48.8,1593,1.355,59,0.388,52,0.922,2231,841,0,2,3,0
2/11/2017 13:04,0:28:48,71.8,47.9,1578,1.32,58,0.378,51,0.923,2210,841,120,2,3,0
2/11/2017 13:04,0:28:48,71.5,49.1,1573,1.34,58,0.384,51,0.923,2194,841,150,3,4,0
2/11/2017 13:04,0:28:48,72.8,48.2,1624,1.375,60,0.394,52,0.92,2288,841,150,1,3,0
2/11/2017 13:03,0:28:48,73.1,47.8,1632,1.376,60,0.394,52,0.92,2303,841,0,0,0,0
2/11/2017 13:03,0:28:48,73.2,48.6,1644,1.405,61,0.402,53,0.919,2320,841,0,0,0,0
2/11/2017 13:03,0:28:48,72.6,49.5,1622,1.399,61,0.4,53,0.92,2277,841,0,0,0,0
2/11/2017 13:02,0:28:48,71.6,49.8,1583,1.365,59,0.391,52,0.923,2208,841,0,0,0,0
2/11/2017 13:02,0:28:48,71.6,49.8,1583,1.365,59,0.391,52,0.923,2208,841,0,0,0,0
2/11/2017 13:02,0:28:48,71.6,51,1594,1.399,61,0.4,53,0.922,2219,841,0,0,0,0
2/11/2017 13:01,0:28:48,70.9,50.5,1559,1.353,59,0.387,52,0.924,2162,841,0,0,0,0
2/11/2017 13:01,0:28:48,70.6,50.7,1547,1.343,58,0.385,52,0.925,2140,841,0,0,0,0
2/11/2017 13:01,0:28:48,69.9,49.1,1501,1.267,55,0.363,50,0.928,2069,841,0,0,0,0
2/11/2017 13:00,0:28:48,70.8,50.3,1549,1.338,58,0.383,51,0.925,2147,841,0,0,0,0
2/11/2017 13:00,0:28:48,71.1,49.7,1558,1.336,58,0.383,51,0.924,2165,841,0,0,0,0
2/11/2017 13:00,0:28:48,71,50.7,1564,1.361,59,0.39,52,0.924,2169,841,0,0,0,0
2/11/2017 12:59,0:28:48,70.6,51.1,1546,1.35,59,0.387,52,0.925,2137,841,0,0,0,0
2/11/2017 12:59,0:28:48,70.4,50.7,1537,1.333,58,0.382,51,0.926,2123,841,0,0,0,0
2/11/2017 12:59,0:28:48,70.3,51.1,1535,1.339,58,0.383,51,0.926,2118,841,0,0,0,0
2/11/2017 12:58,0:28:48,70.4,51.7,1545,1.361,59,0.39,52,0.925,2131,841,0,0,0,0
2/11/2017 12:58,0:28:48,71.4,52.4,1592,1.426,62,0.408,53,0.923,2209,841,0,0,0,0
2/11/2017 12:58,0:28:48,70.3,50.9,1535,1.336,58,0.382,51,0.926,2119,841,0,0,0,0
2/11/2017 12:57,0:28:48,70,51.3,1521,1.328,58,0.38,51,0.927,2094,841,0,0,0,0
2/11/2017 12:57,0:28:48,70,51.3,1521,1.328,58,0.38,51,0.927,2094,841,0,0,0,0
2/11/2017 12:57,0:28:48,70.5,50.9,1540,1.339,58,0.384,51,0.926,2127,841,0,0,0,0
2/11/2017 12:56,0:28:48,70.5,50.5,1541,1.334,58,0.382,51,0.925,2131,841,0,0,0,0
2/11/2017 12:56,0:28:48,70.3,50.5,1532,1.325,58,0.38,51,0.926,2116,841,0,0,0,0
2/11/2017 12:56,0:28:48,70.5,51.3,1543,1.351,59,0.387,52,0.925,2130,841,0,0,0,0
2/11/2017 12:55,0:28:48,70,51.4,1525,1.334,58,0.382,51,0.927,2098,841,0,0,0,0
2/11/2017 12:55,0:28:48,70.3,51.5,1539,1.35,59,0.387,52,0.926,2122,841,0,0,0,0
2/11/2017 12:55,0:28:48,70.2,51.7,1534,1.349,59,0.386,52,0.926,2112,841,120,1,3,0
2/11/2017 12:54,0:28:48,70.7,51.4,1553,1.364,59,0.391,52,0.925,2147,841,150,2,3,0
2/11/2017 12:54,0:28:48,70.4,52.9,1551,1.389,60,0.397,52,0.925,2136,841,150,1,2,0
2/11/2017 12:54,0:28:48,69.6,51.3,1504,1.31,57,0.375,51,0.928,2064,841,150,2,3,0
2/11/2017 12:53,0:28:48,71,50.8,1563,1.363,59,0.39,52,0.924,2168,841,300,0,1,0
2/11/2017 12:53,0:28:48,71.9,51.6,1608,1.425,62,0.408,53,0.922,2240,841,0,0,1,0
2/11/2017 12:53,0:28:48,70.2,50.8,1526,1.324,58,0.379,51,0.926,2104,841,150,0,1,0
2/11/2017 12:52,3:07:12,70.5,51.8,1449,1.362,59,0.391,52,0.929,2015,742,180,1,2,0
